nome,nivel,remoto,salario,salario_maximo,Tecnologia 1,Tecnologia 2,Tecnologia 3,Tecnologia 4,Tecnologia 5,Tecnologia 6,Tecnologia 7,Tecnologia 8,Tecnologia 9,Tecnologia 10,Tecnologia 11,Tecnologia 12
"Vencida, Desenvolvedor(a) Back End Pleno",Pleno,Remoto,CLT,,Git,JavaScript,CSS,HTML,,,,,,,,
"Vencida, Desenvolvedor(a) Pleno",Pleno,Remoto,PJ,7.000,Node.js,MongoDB,JavaScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Sênior",Sênior,Remoto,CLT,,SQL,PHP,JavaScript,HTML,CSS,,,,,,,
"Vencida, DESENVOLVEDOR(A) FLUTTER",Não especificado,Remoto,CLT / PJ,15.000,Flutter,SCRUM,Git,,,,,,,,,
"Vencida, Desenvolvedor(a) Javascript Júnior",Júnior,Não Remoto,CLT / PJ,2.000,Git,CSS,JavaScript,Ionic,Angular,,,,,,,
"Vencida, 9274 - Analista Desenvolvedor(a) Full Stack C#",Não especificado,Remoto,CLT,,CSS,C#,JavaScript,.NET,,,,,,,,
"Vencida, Desenvolvedor(a) C# Sênior",Sênior,Remoto,CLT / PJ,15.000,API,C#,.NET,,,,,,,,,
"Vencida, Desenvolvedor(a) C e C++ Pleno (Presencial)",Pleno,Não Remoto,CLT,7.000,API,C,C++,,,,,,,,,
"Vencida, .NET Developer Senior (Work From Home)",Não especificado,Remoto,PJ,,CSS,HTML,JavaScript,C#,.NET,SQL Server,,,,,,
"Vencida, Python Developer Senior (Work From Home)",Não especificado,Remoto,PJ,,Django,MySQL,ORACLE,Python,SQL,,,,,,,
"Vencida, DESENVOLVEDOR(A) FRONT-END JÚNIOR",Júnior,Remoto,CLT,2.500,CSS,Git,HTML,JavaScript,ReactJS,,,,,,,
"Vencida, ANALISTA FULL STACK C# SÊNIOR",Sênior,Não Remoto,CLT,8.000,C#,JavaScript,.NET Core,PostgreSQL,,,,,,,,
"Vencida, DEV - Mobile Android Sênior",Sênior,Não Remoto,CLT,7.000,Java,Kotlin,Android,Android Studio,,,,,,,,
"Vencida, Analista Desenvolvedor(a) .Net (Fullstack) Pleno",Pleno,Remoto,CLT,,Angular,C#,.NET Core,,,,,,,,,
"Vencida, Desenvolvedor(a) PHP Júnior",Júnior,Remoto,CLT,3.000,CSS,HTML,JavaScript,MySQL,PHP,Bootstrap,,,,,,
"Vencida, Desenvolvedor(a) Angular Pleno",Pleno,Remoto,CLT,6.000,Angular,CSS,HTML,JavaScript,TypeScript,,,,,,,
"Vencida, Desenvolvedor(a) C# Pleno",Pleno,Não Remoto,CLT,8.000,Angular,C#,.NET,,,,,,,,,
"Vencida, Desenvolvedor(a) Front-End (Analista de Marketing Place)",Não especificado,Não Remoto,CLT,,CSS,HTML,ReactJS,React Native,WordPress,,,,,,,
"Vencida, Desenvolvedor(a) .Net (C#) Sênior",Sênior,Remoto,PJ,12.000,C#,.NET,SQL Server,Angular,API,Bootstrap,,,,,,
"Vencida, Desenvolvedor(a) PHP Pleno",Pleno,Remoto,CLT,5.000,CSS,Bootstrap,HTML,JavaScript,MySQL,PHP,,,,,,
"Vencida, Senior React Developer",Não especificado,Remoto,PJ,,Angular,Backbone.js,CSS,HTML,JavaScript,ReactJS,,,,,,
"Vencida, Software Engineer - Front-End Sênior (VueJS) [INTERNACIONAL]",Sênior,Remoto,PJ,18.000,Testes automatizados,Vue.js,JavaScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Web - Pleno [Presencial] Aracaju - SE",Pleno,Não Remoto,CLT,,Java,JavaScript,SQL,HTML,,,,,,,,
"Vencida, Desenvolvedor(a) Java Sênior",Sênior,Remoto,PJ,,Java,Lean,jQuery,,,,,,,,,
"Vencida, Desenvolvedor(a) Node Sênior",Sênior,Remoto,PJ,,API,HLSL,Lean,Node.js,,,,,,,,
"Vencida, Full-stack Developer (React/Node)",Não especificado,Remoto,CLT,,JavaScriptMVC,Node.js,ReactJS,TypeScript,,,,,,,,
"Vencida, Desenvolvedor(a) Android Java (Híbrido - Belo Horizonte)",Não especificado,Não Remoto,CLT / PJ,5.000,API,JSON,Kotlin,Java,,,,,,,,
"Vencida, Desenvolvedor(a) Mobile em Flutter (DART)  [Pleno]",Pleno,Não Remoto,PJ,8.000,Android Studio,Dart,Flutter,,,,,,,,,
"Vencida, Analista Desenvolvedor(a) .Net Jr. ",Não especificado,Remoto,CLT,,Angular,C#,.NET Core,,,,,,,,,
"Vencida, CampusPress Sales Support Specialist",Não especificado,Remoto,CLT,8.000,Administrador de sistema,Salesforce,WordPress,,,,,,,,,
"Vencida, Desenvolvedor(a) Java Sênior (Supply Chain)",Sênior,Remoto,PJ,,Docker,Java,kubernetes,ORACLE,PLSQL,TDD,,,,,,
"Vencida, Suporte N3 Pleno ",Pleno,Remoto,PJ,10.000,JavaScript,.NET,Node.js,PostgreSQL,ReactJS,SQL,,,,,,
"Vencida, Programador(a) PHP JR - Home Office",Não especificado,Remoto,PJ,,API,CSS,jQuery,Laravel,MySQL,PHP,,,,,,
"Vencida, WordPress Support Specialist at CampusPress",Não especificado,Remoto,CLT,8.000,CSS,HTML,MySQL,PHP,WordPress,,,,,,,
"Vencida, WordPress Support Specialist",Não especificado,Remoto,CLT,8.000,CSS,HTML,MySQL,PHP,WordPress,,,,,,,
"Vencida, Desenvolvedor(a) Javascript Pleno",Pleno,Remoto,CLT / PJ,5.000,CSS,HTML,JavaScript,Node.js,,,,,,,,
"Vencida, Desenvolvedor(a) Machine Learning Fullstack",Não especificado,Não Remoto,PJ,15.000,Machine learning,Big Data,Pandas,Python,,,,,,,,
"Vencida, Desenvolvedor(a) C# Pleno",Pleno,Remoto,CLT / PJ,5.000,C#,SQL Server,Web API,,,,,,,,,
"Vencida, Desenvolvedor(a) Sênior ",Sênior,Remoto,CLT,3.000,Administrador de sistema,FreeMarker,Java,PHP,Python,,,,,,,
"Vencida, Tech Lead React Native ",Não especificado,Não Remoto,PJ,18.000,Android,AWS S3,Google Cloud,iOS,PHP,React Native,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Júnior",Júnior,Não Remoto,CLT,2.500,API,CSS,HTML,MongoDB,MySQL,PHP,,,,,,
"Vencida, DESENVOLVEDOR(A) PLENO NODE",Pleno,Remoto,PJ,3.500,API,AWS S3,MongoDB,SQL,Node.js,,,,,,,
"Vencida, Desenvolvedor(a) Python Pleno",Pleno,Não Remoto,CLT,7.000,Django,Java,Python,,,,,,,,,
"Vencida, React & React Native Developer",Não especificado,Remoto,CLT,,API,ReactJS,React Native,,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno - 100% Remoto",Pleno,Remoto,CLT / PJ,8.000,DevOps,JavaScript,Node.js,PHP,ReactJS,SQL,,,,,,
"Vencida, Desenvolvedor(a) Front-end Vue.js Pleno",Pleno,Remoto,PJ,4.000,Git,Laravel,TypeScript,Vue.js,,,,,,,,
"Vencida, Desenvolvedor(a) React Native Pleno",Pleno,Remoto,PJ,,ReactJS,Node.js,React Native,,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno",Pleno,Remoto,CLT,,Git,HTML,Linux,MySQL,PHP,TypeScript,,,,,,
"Vencida, Vaga para CTO em Fintech/Startup em Fase de Scale-Up",Não especificado,Não Remoto,PJ,10.000,Cloud,Java,PHP,Python,SQL,,,,,,,
"Vencida, Vaga Desenvolvedor(a) Flutter Sênior",Sênior,Remoto,PJ,,Flutter,CSS,Git,,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno (Web.NET/C#)",Pleno,Remoto,PJ,7.000,ASP.NET,C#,CSS,Git,jQuery,JavaScript,,,,,,
"Vencida, Desenvolvedor(a) Front-end React Pleno",Pleno,Remoto,PJ,,JavaScript,NextJS,ReactJS,Redux,Styled-Components,TypeScript,,,,,,
"Vencida, Programador(a) PHP Fullstack Sênior",Sênior,Remoto,CLT,8.000,HTML,Laravel,ReactJS,MySQL,PHP,S.O.L.I.D,,,,,,
"Vencida, Programador(a) de Sistemas Java Pleno",Pleno,Remoto,CLT,,Git,Java,JavaScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Pleno - .Net, Python e/ou js/node",Pleno,Remoto,CLT / PJ,,JavaScript,Node.js,Python,,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno",Pleno,Remoto,CLT / PJ,10.000,Angular,ASP.NET,C#,HTML,JavaScript,MongoDB,,,,,,
"Vencida, Pessoa Dev Mobile - React Native/ Pleno - Remoto",Pleno,Remoto,PJ,8.000,ReactJS,React Native,Redux,,,,,,,,,
"Vencida, Desenvolvedor(a) Mobile React/Flutter",Não especificado,Não Remoto,CLT,3.000,Flutter,React Native,SQL Server,,,,,,,,,
"Vencida, Software Developer . Net",Não especificado,Remoto,CLT,12.000,Azure,C#,.NET,,,,,,,,,
"Vencida, Dev Front-End React",Não especificado,Remoto,PJ,8.000,CSS,Git,HTML,JavaScript,ReactJS,,,,,,,
"Vencida, Desenvolvedor(a) Web Pleno",Pleno,Não Remoto,PJ,,Java,JavaScript,.NET,SQL,Web Services,XML,,,,,,
"Vencida, Desenvolvedor(a) C# Pleno",Pleno,Não Remoto,CLT,10.000,C#,.NET,SQF,SQL Server,Testes unitários,,,,,,,
"Vencida, Desenvolvedor(a) de Front-End",Não especificado,Não Remoto,CLT,1.500,CSS,JavaScript,PHP,HTML,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Sênior",Sênior,Remoto,PJ,12.000,NextJS,Node.js,TypeScript,,,,,,,,,
"Vencida, Desenvolvedor(a) C# Fullstack Pleno - Remoto",Pleno,Remoto,PJ,7.000,API,ASP.NET Core,Azure,C#,Entity framework,Git,,,,,,
"Vencida, Pessoa Desenvolvedora Front-end (VueJS | Tailwind | TypeScript)",Não especificado,Remoto,PJ,5.000,Git,JavaScript,TypeScript,Vue.js,,,,,,,,
"Vencida, Desenvolvedor(a) Delphi 10",Não especificado,Não Remoto,CLT,2.000,Delphi,desktop,PHP,,,,,,,,,
"Vencida, Desenvolvimento Web Plataforma .NET, Linguagem C#, MVC, HTML, CSS, Visual Studio e SQL Server. ",Não especificado,Não Remoto,CLT,7.000,CSS,HTML,SQL Server,ASP.NET,C#,JavaScript,,,,,,
"Vencida, Desenvolvedor(a) .Net Sênior",Sênior,Não Remoto,CLT,12.000,C#,C++,.NET,PHP,SQL Server,,,,,,,
"Vencida, Desenvolvedor(a) Web Pleno",Pleno,Remoto,PJ / CLT,5.000,Vue.js,SQL,RESTful,PHP,Laravel,API,,,,,,
"Vencida, Desenvolvedor(a) (PHP / CakePHP / Ionic / Angular)",Não especificado,Remoto,PJ,5.000,Angular,CakePHP,Ionic,Node.js,PHP,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Sênior ",Sênior,Não Remoto,CLT / PJ,8.000,CSS,Java,ReactJS,SQL,,,,,,,,
"Vencida, Desenvolvedor(a) Javascript / Vue.js - Pleno",Pleno,Remoto,PJ,5.000,Vue.js,CSS,Google Cloud,JavaScript,SCSS,,,,,,,
"Vencida, Desenvolvedor(a) NodeJS",Não especificado,Remoto,PJ,,Cloud,Docker,Node.js,TypeScript,,,,,,,,
"Vencida, Desenvolvedor(a) Fullstack NodeJS/Angular Sênior",Sênior,Não Remoto,PJ,,Angular,Blockchain,Docker,MongoDB,NextJS,Node.js,,,,,,
"Vencida, Desenvolvedor(a) PHP",Não especificado,Não Remoto,PJ,6.000,JavaScript,Laravel,Node.js,PHP,Symfony,,,,,,,
"Vencida, Desenvolvedor(a) .NET Front-End",Não especificado,Não Remoto,CLT / PJ,10.000,API,ASP.NET,C#,JavaScript,Angular,Node.js,,,,,,
"Vencida, Desenvolvedor(a) Mobile",Não especificado,Não Remoto,CLT / PJ,10.000,Android Studio,SQLite,API,Flutter,Git,React Native,,,,,,
"Vencida, Desenvolvedor(a) React Pleno",Pleno,Remoto,PJ,10.000,CSS,HTML,ReactJS,React Native,TypeScript,Styled-Components,,,,,,
"Vencida, Desenvolvedor(a) Fullstack .Net e React",Não especificado,Remoto,CLT,,.NET,ReactJS,Azure,,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack PJ",Não especificado,Remoto,PJ,,Cloud,JavaScript,MySQL,C#,,,,,,,,
"Vencida, Desenvolvedor(a) Angular + Java",Não especificado,Remoto,PJ,,Angular,API,Java,SQL,,,,,,,,
"Vencida, Programador(a) Delphi Sênior",Sênior,Remoto,PJ,12.000,Delphi,SQL,API,,,,,,,,,
"Vencida, Desenvolvedor(a) Angular / Python Pleno",Pleno,Não Remoto,CLT,6.000,Angular,Python,JavaScript,,,,,,,,,
"Vencida, Estagiário(a) WP",Não especificado,Remoto,Estágio,1.000,CSS,HTML,WordPress,,,,,,,,,
"Vencida, Estagiário(a) WP",Não especificado,Remoto,Estágio,1.000,CSS,HTML,WordPress,,,,,,,,,
"Vencida, Senior Full Stack Developer",Não especificado,Não Remoto,PJ,12.000,CSS,Docker,JavaScript,Node.js,TypeScript,Angular,,,,,,
"Vencida, Desenvolvedor(a) de Software Pleno",Pleno,Não Remoto,PJ,10.000,PostgreSQL,SQL,DevOps,JavaScript,NoSQL,Node.js,,,,,,
"Vencida, Desenvolvedor(a) Full Stack (React e C#)",Não especificado,Remoto,CLT,,C#,Git,NoSQL,ReactJS,SQL,,,,,,,
"Vencida, Pessoa Desenvolvedora Web ASP.NET MVC/API",Não especificado,Não Remoto,CLT / PJ,,.NET,SQL,C#,JavaScript,RESTful,,,,,,,
"Vencida, Desenvolvedor(a) Java Sênior",Sênior,Não Remoto,CLT,10.000,Java,JSF,React Native,SQL Server,,,,,,,,
"Vencida, Pessoa Desenvolvedora Backend PHP Pleno",Pleno,Não Remoto,PJ,7.000,JavaScript,Laravel,PHP,PostgreSQL,SCRUM,,,,,,,
"Vencida, Full-Stack Java Developer - REF 102 - 13",Não especificado,Remoto,PJ,,Angular,AWS S3,Java,JavaScript,MongoDB,,,,,,,
"Vencida, Desenvolvedor(a) Frontend Pleno",Pleno,Remoto,PJ,,Angular,JavaScript,ReactJS,,,,,,,,,
"Vencida, Desenvolvedor(a) .NET Sênior",Sênior,Não Remoto,CLT / PJ,15.000,Azure,.NET,SQL,,,,,,,,,
"Vencida, Estágio Legal Proxy - Full Stack",Não especificado,Remoto,Estágio,1.500,Cloud,CSS,Django,JavaScript,Python,Vue.js,,,,,,
"Vencida, DESENVOLVEDOR(A) PLENO ",Pleno,Não Remoto,CLT,8.000,C#,JavaScript,Kanban,MySQL,SQL,,,,,,,
"Vencida, Arquitecto Amazon Web Services",Não especificado,Remoto,PJ,,AWS S3,Cloud,DevOps,,,,,,,,,
"Vencida, Desenvolvedor(a) .NET Júnior",Júnior,Não Remoto,CLT,2.500,ASP.NET MVC,C#,JavaScript,SQL Server,,,,,,,,
"Vencida, Arquiteto(a) de Software ",Não especificado,Remoto,CLT / PJ,12.000,DevOps,Node.js,ReactJS,Vue.js,,,,,,,,
"Vencida, Desenvolvedor(a) Java Pleno - Inglês Fluente",Pleno,Remoto,CLT,,API,Docker,Git,Hibernate,Java,Spring Boot,,,,,,
"Vencida, Desenvolvedor(a) Full-Stack Sênior",Sênior,Remoto,PJ,,Node.js,PHP,Python,CSS,JavaScript,Vue.js,,,,,,
"Vencida, Desenvolvedor(a) Front-end Sênior",Sênior,Remoto,PJ,,API,CSS,JavaScript,Vue.js,,,,,,,,
"Vencida, Desenvolvedor(a) .NET - PL",Não especificado,Não Remoto,CLT,,ASP.NET MVC,C#,Git,jQuery,.NET MVC,SQL Server,,,,,,
"Vencida, Desenvolvedor(a) .NET - JR",Não especificado,Não Remoto,CLT,,ASP.NET MVC,C#,Git,jQuery,.NET MVC,SQL Server,,,,,,
"Vencida, Desenvolvedor(a) Angular 8+ Sênior",Sênior,Não Remoto,CLT / PJ,12.000,Angular,API,CSS,HTML,SCSS,TypeScript,,,,,,
"Vencida, Arquiteto(a) Google Cloud Platform",Não especificado,Remoto,PJ,,Azure,DevOps,Google Cloud,kubernetes,SQL,,,,,,,
"Vencida, Desenvolvedor(a) Python + Fastapi",Não especificado,Não Remoto,CLT,5.000,MongoDB,PostgreSQL,Python,,,,,,,,,
"Vencida, Desenvolvedor(a) Sistemas C C++ PL ",Não especificado,Não Remoto,PJ,15.000,C,C++,Linux,,,,,,,,,
"Vencida, Desenvolvedor(a) PowerBuilder",Não especificado,Remoto,CLT,6.000,PowerBuilder,SQL,SQL Server,,,,,,,,,
"Vencida, Programador(a) com Experiência em Codeigniter 4 e Front-end",Não especificado,Não Remoto,PJ,3.000,CodeIgniter,CSS,HTML,JavaScript,MySQL,PHP,,,,,,
"Vencida, Desenvolvedor(a) Flutter",Não especificado,Não Remoto,CLT,5.000,API,Flutter,RESTful,Vue.js,,,,,,,,
"Vencida, Desenvolvedor(a) PHP + Laravel e CodeIgniter",Não especificado,Remoto,PJ,6.000,CodeIgniter,jQuery,Laravel,PHP,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End Jr. (Estágio)",Não especificado,Remoto,Estágio,1.500,Express,Git,Node.js,PostgreSQL,TypeScript,,,,,,,
"Vencida, Back End Golang Senior",Não especificado,Remoto,PJ,,C,C++,Go,,,,,,,,,
"Vencida, DevSecOps Pleno",Pleno,Remoto,PJ,6.000,API,AWS RDS (Relational Database Service),Cloud,DevOps,kubernetes,SCRUM,,,,,,
"Vencida, Desenvolvedor(a) Full Stack PHP/Blade",Não especificado,Não Remoto,CLT,6.000,CSS,JavaScript,PHP,ReactJS,SCRUM,Laravel,,,,,,
"Vencida, Desenvolvedor(a) Front-end REACT I Pleno I Plataforma de MKT PLACE",Pleno,Remoto,PJ,10.000,API,Git,HTML,JavaScript,ReactJS,React Native,,,,,,
"Vencida, Desenvolvedor(a) Java Sênior",Sênior,Remoto,CLT,12.000,Java,PostgreSQL,Spring Boot,,,,,,,,,
"Vencida, Senior iOS Engineer (Remote)",Não especificado,Remoto,PJ,,API,iOS,Swift,,,,,,,,,
"Vencida, Desenvolvedor(a) .NET Pleno",Pleno,Remoto,PJ,10.000,API,Git,.NET,.NET Core,NextJS,Node.js,,,,,,
"Vencida, Líder DevOPs GCP",Não especificado,Remoto,CLT,,DevOps,Google Cloud,kubernetes,Google Analytics,Google Web Toolkit,HTML,,,,,,
"Vencida, DESENVOLVEDOR(A) DE MACHINE LEARNING / VISÃO COMPUTACIONAL",Não especificado,Não Remoto,PJ,10.000,C++,Machine learning,Node.js,Python,TensorFlow,,,,,,,
"Vencida, Desenvolvedor(a) Back End Pleno",Pleno,Remoto,CLT,8.000,AWS EC2 (Elastic Compute Cloud),C#,JavaScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Front End - Pleno",Pleno,Não Remoto,CLT,,CSS,HTML,ReactJS,,,,,,,,,
"Vencida, Desenvolvedor(a) Mobile Pleno",Pleno,Remoto,CLT,,iOS,React Native,Android Studio,,,,,,,,,
"Vencida, Desenvolvedor(a) C# Pleno",Pleno,Não Remoto,CLT / PJ,,Web API,C#,Node.js,,,,,,,,,
"Vencida, Desenvolvedor(a) PJ Front-End Vue.Js Pleno [PRO-118 #93]",Pleno,Remoto,PJ,8.000,HTML,CSS,Cypress.io,Docker,TypeScript,Vue.js,,,,,,
"Vencida, Desenvolvedor(a) Golang Sênior  ",Sênior,Remoto,CLT,15.000,Go,Testes automatizados,Testes unitários,,,,,,,,,
"Vencida,  Developer Sr - Drupal",Não especificado,Remoto,CLT,10.000,Drupal,HTML,JavaScript,PHP,CSS,,,,,,,
"Vencida, Desenvolvedor(a) Back-end (JAVA)",Não especificado,Remoto,PJ,15.000,Cloud,Java,JUnit,MongoDB,RabbitMQ,Spring,,,,,,
"Vencida, Desenvolvedor(a) Ruby Pleno",Pleno,Remoto,CLT,,Ruby on Rails,JavaScript,MariaDB,RPM Spec,Ruby,,,,,,,
"Vencida, Desenvolvedor(a) Front End - Angular ",Não especificado,Não Remoto,PJ,12.000,JavaScript,TypeScript,Angular,HTML,Java,,,,,,,
"Vencida, Desenvolvedor(a) Java Pleno",Pleno,Remoto,CLT,,API,Azure,Java,MySQL,RESTful,Spring Boot,,,,,,
"Vencida, Desenvolvedor(a) Fullstack Sênior",Sênior,Remoto,PJ,,PHP,ReactJS,WordPress,,,,,,,,,
"Vencida, Desenvolvedor(a) Mobile Flutter Sênior",Sênior,Remoto,PJ,,Clean,Flutter,Git,Java,MVC,SCRUM,,,,,,
"Vencida, Desenvolvedor(a) Front End SR",Não especificado,Remoto,CLT / PJ,,Angular,CSS,Git,JavaScript,Spring MVC,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack SR",Não especificado,Remoto,CLT / PJ,,Angular,Java,Linux,Spring Boot,API,Docker,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno (Presencial)",Pleno,Não Remoto,CLT / PJ,8.000,Node.js,Elasticsearch,Firebase,,,,,,,,,
"Vencida, Desenvolvedor(a) Java Pleno",Pleno,Remoto,CLT,10.000,RabbitMQ,SQL,Angular,Java,PostgreSQL,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno (Remoto)",Pleno,Remoto,CLT / PJ,8.000,Elasticsearch,Firebase,Node.js,,,,,,,,,
"Vencida, Azure Data Engineer ",Não especificado,Remoto,PJ,7.000,Azure,Python,SQL,Data science,,,,,,,,
"Vencida, Desenvolvedor(a) PHP Full-Stack",Não especificado,Remoto,CLT / PJ,5.000,RabbitMQ,Laravel,MySQL,API,Node.js,PHP,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno",Pleno,Remoto,CLT,,Kanban,SCRUM,Linux,Node.js,ReactJS,Unix,,,,,,
"Vencida, Arquiteto(a) de Sistemas ",Não especificado,Remoto,CLT,15.000,AWS EC2 (Elastic Compute Cloud),Clean Code,Java,,,,,,,,,
"Vencida, Desenvolvedor(a) PHP - Pleno (Presencial)",Pleno,Não Remoto,CLT,3.500,Laravel,PostgreSQL,MySQL,PHP,Git,Vue.js,,,,,,
"Vencida, Analista Desenvolvedor(a) - Angular Sênior",Sênior,Remoto,PJ,,Angular,Docker,Git,,,,,,,,,
"Vencida, Desenvolvedor(a) PHP - Júnior (Presencial)",Júnior,Não Remoto,CLT,2.500,Git,Laravel,MySQL,PHP,PostgreSQL,,,,,,,
"Vencida, Desenvolvedor(a) FullStack Pleno",Pleno,Remoto,PJ,7.000,API,HTML,JavaScript,Python,SQL,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Júnior",Júnior,Não Remoto,CLT,5.000,PHP,CSS,HTML,JavaScript,jQuery,MySQL,,,,,,
"Vencida, Desenvolvedor(a) de Aplicações Web com Experiência em React.js",Não especificado,Remoto,PJ,5.000,CSS,Figma,HTML,JavaScript,ReactJS,RESTful,,,,,,
"Vencida, Developer Back-end",Não especificado,Remoto,PJ,,API,JavaScript,JSON,Node.js,RESTful,TypeScript,,,,,,
